city,local,parameter,value,latitude,longitude
city,local,parameter,value,latitude,longitude
Delhi,"2015-07-02T09:00:00+05:30",no2,29,28.6683,77.1167
Delhi,"2015-07-02T09:00:00+05:30",so2,6.9,28.5648,77.1744
Delhi,"2015-07-02T09:00:00+05:30",pm25,50,28.5648,77.1744
Delhi,"2015-07-02T09:00:00+05:30",o3,6,28.6341,77.2005
Delhi,"2015-07-02T09:00:00+05:30",o3,32.4,28.6683,77.1167
Delhi,"2015-07-02T09:00:00+05:30",pm10,95,28.6341,77.2005
Delhi,"2015-07-02T09:00:00+05:30",co,900,28.6683,77.1167
Delhi,"2015-07-02T09:00:00+05:30",no2,45.5,28.5648,77.1744
Delhi,"2015-07-02T09:10:00+05:30",co,1100,28.6508,77.3152
Delhi,"2015-07-02T09:10:00+05:30",pm25,76,28.6508,77.3152
Delhi,"2015-07-02T09:10:00+05:30",no2,73.6,28.6508,77.3152
Delhi,"2015-07-02T09:10:00+05:30",so2,6.7,28.6508,77.3152
Delhi,"2015-07-02T09:10:00+05:30",pm10,333,28.6508,77.3152
Delhi,"2015-07-02T09:40:00+05:30",so2,6.9,28.5648,77.1744
Delhi,"2015-07-02T09:40:00+05:30",pm25,50,28.5648,77.1744
Delhi,"2015-07-02T09:40:00+05:30",co,1600,28.6508,77.3152
Delhi,"2015-07-02T09:40:00+05:30",co,700,28.6341,77.2005
Delhi,"2015-07-02T09:40:00+05:30",so2,1,28.6683,77.1167
Delhi,"2015-07-02T09:40:00+05:30",o3,35.5,28.5648,77.1744
Delhi,"2015-07-02T09:40:00+05:30",co,1100,28.6683,77.1167
Delhi,"2015-07-02T09:40:00+05:30",pm10,191,28.5648,77.1744
Delhi,"2015-07-02T09:40:00+05:30",o3,4.1,28.6341,77.2005
Delhi,"2015-07-02T09:40:00+05:30",no2,45,28.6683,77.1167
Delhi,"2015-07-02T09:40:00+05:30",pm10,176,28.6683,77.1167
Delhi,"2015-07-02T09:40:00+05:30",no2,43.8,28.6341,77.2005
Delhi,"2015-07-02T09:40:00+05:30",o3,33,28.6683,77.1167
Delhi,"2015-07-02T09:40:00+05:30",co,1700,28.5648,77.1744
Delhi,"2015-07-02T09:40:00+05:30",no2,59.5,28.5648,77.1744
Delhi,"2015-07-02T09:40:00+05:30",no2,102.8,28.6508,77.3152
Delhi,"2015-07-02T09:40:00+05:30",pm25,82,28.6683,77.1167
Delhi,"2015-07-02T09:40:00+05:30",so2,6.5,28.6508,77.3152
Delhi,"2015-07-02T10:00:00+05:30",co,1300,28.6683,77.1167
Delhi,"2015-07-02T10:00:00+05:30",pm25,55,28.6341,77.2005
Delhi,"2015-07-02T10:00:00+05:30",co,1700,28.5648,77.1744
Delhi,"2015-07-02T10:00:00+05:30",o3,28.7,28.5648,77.1744
Delhi,"2015-07-02T10:00:00+05:30",o3,45.7,28.6683,77.1167
Delhi,"2015-07-02T10:00:00+05:30",pm25,60,28.5648,77.1744
Delhi,"2015-07-02T10:00:00+05:30",pm10,153,28.6683,77.1167
Delhi,"2015-07-02T10:00:00+05:30",no2,60.2,28.6341,77.2005
Delhi,"2015-07-02T10:00:00+05:30",o3,7.9,28.6341,77.2005
Delhi,"2015-07-02T10:00:00+05:30",pm25,53,28.6683,77.1167
Delhi,"2015-07-02T10:00:00+05:30",pm10,140,28.5648,77.1744
Delhi,"2015-07-02T10:00:00+05:30",pm10,226,28.6341,77.2005
Delhi,"2015-07-02T10:00:00+05:30",no2,60.3,28.6683,77.1167
Delhi,"2015-07-02T10:00:00+05:30",co,700,28.6341,77.2005
Delhi,"2015-07-02T10:00:00+05:30",no2,67.7,28.5648,77.1744
Delhi,"2015-07-02T10:00:00+05:30",so2,7.7,28.5648,77.1744
Delhi,"2015-07-02T10:10:00+05:30",pm25,51,28.6508,77.3152
Delhi,"2015-07-02T10:10:00+05:30",pm10,589,28.6508,77.3152
Delhi,"2015-07-02T10:40:00+05:30",no2,91.9,28.6683,77.1167
Delhi,"2015-07-02T10:40:00+05:30",o3,18,28.6341,77.2005
Delhi,"2015-07-02T10:40:00+05:30",pm10,589,28.6508,77.3152
Delhi,"2015-07-02T10:40:00+05:30",pm25,55,28.6341,77.2005
Delhi,"2015-07-02T10:40:00+05:30",co,1700,28.6683,77.1167
Delhi,"2015-07-02T10:40:00+05:30",no2,71.9,28.6341,77.2005
Delhi,"2015-07-02T10:40:00+05:30",pm25,60,28.5648,77.1744
Delhi,"2015-07-02T10:40:00+05:30",pm25,51,28.6508,77.3152
Delhi,"2015-07-02T10:40:00+05:30",o3,83.2,28.6683,77.1167
Delhi,"2015-07-02T10:40:00+05:30",co,700,28.6341,77.2005
Delhi,"2015-07-02T10:40:00+05:30",pm25,53,28.6683,77.1167
Delhi,"2015-07-02T10:40:00+05:30",o3,24.2,28.5648,77.1744
Delhi,"2015-07-02T10:40:00+05:30",so2,3.5,28.6683,77.1167
Delhi,"2015-07-02T10:40:00+05:30",pm10,153,28.6683,77.1167
Delhi,"2015-07-02T10:40:00+05:30",pm10,140,28.5648,77.1744
Delhi,"2015-07-02T11:00:00+05:30",pm10,228,28.6683,77.1167
Delhi,"2015-07-02T11:00:00+05:30",o3,90,28.6683,77.1167
Delhi,"2015-07-02T11:00:00+05:30",no2,99,28.5648,77.1744
Delhi,"2015-07-02T11:00:00+05:30",pm10,252,28.6341,77.2005
Delhi,"2015-07-02T11:00:00+05:30",no2,65,28.6683,77.1167
Delhi,"2015-07-02T11:00:00+05:30",pm25,84,28.6683,77.1167
Delhi,"2015-07-02T11:00:00+05:30",o3,32.1,28.6341,77.2005
Delhi,"2015-07-02T11:00:00+05:30",pm25,77,28.6341,77.2005
Delhi,"2015-07-02T11:00:00+05:30",o3,22,28.5648,77.1744
Delhi,"2015-07-02T11:00:00+05:30",so2,7.4,28.6683,77.1167
Delhi,"2015-07-02T11:00:00+05:30",so2,12,28.5648,77.1744
Delhi,"2015-07-02T11:00:00+05:30",no2,45.4,28.6341,77.2005
Delhi,"2015-07-02T11:00:00+05:30",co,700,28.6341,77.2005
Delhi,"2015-07-02T11:00:00+05:30",co,1600,28.6683,77.1167
Delhi,"2015-07-02T11:00:00+05:30",pm10,200,28.5648,77.1744
Delhi,"2015-07-02T11:00:00+05:30",pm25,76,28.5648,77.1744
Delhi,"2015-07-02T11:10:00+05:30",pm10,298,28.6508,77.3152
Delhi,"2015-07-02T11:10:00+05:30",so2,17.8,28.6508,77.3152
Delhi,"2015-07-02T11:10:00+05:30",pm25,103,28.6508,77.3152
Delhi,"2015-07-02T11:10:00+05:30",co,1300,28.6508,77.3152
Delhi,"2015-07-02T11:10:00+05:30",no2,117.2,28.6508,77.3152
Delhi,"2015-07-02T11:20:00+05:30",co,800,28.6341,77.2005
Delhi,"2015-07-02T11:20:00+05:30",o3,47.8,28.6341,77.2005
Delhi,"2015-07-02T11:20:00+05:30",so2,14.6,28.6508,77.3152
Delhi,"2015-07-02T11:20:00+05:30",pm25,103,28.6508,77.3152
Delhi,"2015-07-02T11:20:00+05:30",no2,78.2,28.6683,77.1167
Delhi,"2015-07-02T11:20:00+05:30",pm25,77,28.6341,77.2005
Delhi,"2015-07-02T11:20:00+05:30",so2,9.7,28.5648,77.1744
Delhi,"2015-07-02T11:20:00+05:30",co,1400,28.6683,77.1167
Delhi,"2015-07-02T11:20:00+05:30",pm10,228,28.6683,77.1167
Delhi,"2015-07-02T11:20:00+05:30",pm25,76,28.5648,77.1744
Delhi,"2015-07-02T11:20:00+05:30",pm10,252,28.6341,77.2005
Delhi,"2015-07-02T11:20:00+05:30",pm10,298,28.6508,77.3152
Delhi,"2015-07-02T11:20:00+05:30",no2,41.5,28.6341,77.2005
Delhi,"2015-07-02T11:20:00+05:30",no2,144.4,28.6508,77.3152
Delhi,"2015-07-02T11:20:00+05:30",no2,66.4,28.5648,77.1744
Delhi,"2015-07-02T11:20:00+05:30",o3,69.4,28.6683,77.1167
Delhi,"2015-07-02T11:20:00+05:30",o3,18,28.5648,77.1744
Delhi,"2015-07-02T11:20:00+05:30",so2,6.2,28.6683,77.1167
Delhi,"2015-07-02T11:20:00+05:30",pm25,84,28.6683,77.1167
Delhi,"2015-07-02T11:20:00+05:30",pm10,200,28.5648,77.1744
Delhi,"2015-07-02T11:20:00+05:30",co,1300,28.6508,77.3152
Delhi,"2015-07-02T12:00:00+05:30",no2,64.5,28.5648,77.1744
Delhi,"2015-07-02T12:00:00+05:30",co,800,28.6341,77.2005
Delhi,"2015-07-02T12:00:00+05:30",o3,24.8,28.5648,77.1744
Delhi,"2015-07-02T12:00:00+05:30",pm10,151,28.6341,77.2005
Delhi,"2015-07-02T12:00:00+05:30",o3,101.9,28.6683,77.1167
Delhi,"2015-07-02T12:00:00+05:30",so2,2.8,28.6683,77.1167
Delhi,"2015-07-02T12:00:00+05:30",pm25,62,28.6683,77.1167
Delhi,"2015-07-02T12:00:00+05:30",o3,84.6,28.6341,77.2005
Delhi,"2015-07-02T12:00:00+05:30",pm10,145,28.5648,77.1744
Delhi,"2015-07-02T12:00:00+05:30",no2,57.3,28.6683,77.1167
Delhi,"2015-07-02T12:00:00+05:30",pm10,157,28.6683,77.1167
Delhi,"2015-07-02T12:00:00+05:30",pm25,79,28.6341,77.2005
Delhi,"2015-07-02T12:00:00+05:30",pm25,92,28.5648,77.1744
Delhi,"2015-07-02T12:00:00+05:30",no2,35.5,28.6341,77.2005
Delhi,"2015-07-02T12:10:00+05:30",pm10,372,28.6508,77.3152
